arc	type	trial_set	pos	date	huge	pattern	locale	heading_rad	species	predator	id	video
40	DoG	T38	1	24/06/2016	0	dog 40	Tenerife	0.06	Da	0	na	GOPR0263
40	DoG	T38	2	24/06/2016	0	dog 40	Tenerife	5	Da	0	na	GOPR0263
40	DoG	T38	3	24/06/2016	0	dog 40	Tenerife	5.79	Da	0	na	GOPR0263
40	DoG	T38	4	24/06/2016	0	dog 40	Tenerife	4.55	Da	0	na	GOPR0263
40	DoG	T39	1	24/06/2016	0	dog 40	Tenerife	1.59	Da	0	na	GOPR0264
40	DoG	T39	2	24/06/2016	0	dog 40	Tenerife	2.08	Da	0	na	GOPR0264
40	DoG	T39	3	24/06/2016	0	dog 40	Tenerife	6.1	Da	0	na	GOPR0264
40	DoG	T39	4	24/06/2016	0	dog 40	Tenerife	6.05	Da	0	na	GOPR0264
40	DoG	T40	1	24/06/2016	0	dog 40	Tenerife	5.91	Da	0	na	GOPR0265
40	DoG	T40	2	24/06/2016	0	dog 40	Tenerife	4.96	Da	0	na	GOPR0265
40	DoG	T40	3	24/06/2016	0	dog 40	Tenerife	6.07	Da	0	na	GOPR0265
